Timestamp,gender,sexuality,age,relationship,hobbies,activity,personality,season,playtime,non_marriage_candidate,marriage_candidate
4/8/2025 19:46:49,Male,Straight,28,Single,Music,Mining,Introvert,Winter,3,Marnie,Penny
4/8/2025 19:47:44,Female,Bisexual,17,Dating,Music,Mining,Ambivert,Fall,3,Pam,Penny
4/8/2025 19:47:58,Female,Bisexual,21,Single,Arts,Fishing,Introvert,Winter,2,Linus,Haley
4/8/2025 19:49:45,Female,Bisexual,20,Dating,Music,Mining,Introvert,Fall,1,Caroline,Haley
4/8/2025 20:04:48,Female,Other,21,Single,Literature,Talking to NPCs,Introvert,Fall,1,Linus,Abigail
4/8/2025 20:06:05,Female,Lesbian,29,Single,Literature,Fishing,Introvert,Summer,15,Robin,Leah
4/8/2025 20:10:54,Female,Straight,18,Single,Literature,Mining,Introvert,Fall,2,Marnie,Sebastian
4/8/2025 20:12:34,Male,Straight,29,Married,Literature,Fishing,Introvert,Spring,10,Caroline,Penny
4/8/2025 20:14:52,Female,Lesbian,22,Single,Literature,Mining,Extrovert,Winter,3,Sandy,Emily
4/8/2025 20:16:31,Male,Straight,19,Single,Cooking,Exploring,Ambivert,Fall,1,Demetrius,Abigail
4/8/2025 20:23:08,Female,Bisexual,22,Dating,Arts,Farming,Ambivert,Summer,6,Pam,Haley
4/8/2025 20:24:45,Male,Straight,20,Single,Arts,Decorating Farm,Introvert,Summer,1,Willy,Leah
4/8/2025 20:25:37,Female,Bisexual,18,Single,Literature,Exploring,Introvert,Spring,4,Kent,Harvey
4/8/2025 20:29:41,Female,Bisexual,30,Married,Music,Decorating Farm,Introvert,Spring,3,Jodi,Harvey
4/8/2025 20:28:22,Male,Straight,29,Dating,Cooking,Decorating Farm,Ambivert,Fall,1,Linus,Abigail
4/8/2025 20:30:14,Female,Bisexual,21,Dating,Music,Mining,Ambivert,Summer,2,Caroline,Haley
4/8/2025 20:31:06,Male,Bisexual,15,Single,Arts,Decorating Farm,Ambivert,Spring,1,Jas,Shane
4/8/2025 20:33:55,Female,Bisexual,30,Single,Literature,Exploring,Introvert,Fall,3,Gus,Sebastian
4/8/2025 20:37:42,Female,Other,22,Single,Cooking,Combat,Introvert,Fall,2,Sandy,Krobus
4/8/2025 20:38:15,Female,Other,31,Single,Music,Exploring,Ambivert,Spring,3,Wizard,Krobus
4/8/2025 20:38:50,Female,Straight,22,Dating,Sports,Decorating Farm,Ambivert,Fall,4,Willy,Elliot
4/8/2025 20:47:16,Non-binary,Other,28,Single,Cooking,Fishing,Extrovert,Winter,2,Wizard,Krobus
4/8/2025 20:56:07,Female,Other,31,Single,Arts,Mining,Introvert,Spring,15,George,Shane
4/8/2025 21:00:43,Female,Other,25,Single,Arts,Mining,Introvert,Fall,3,Pierre,Sebastian
4/8/2025 21:02:51,Female,Straight,25,Dating,Arts,Mining,Ambivert,Spring,50,Evelyn,Sebastian
4/8/2025 21:08:06,Female,Lesbian,21,Dating,Music,Mining,Introvert,Spring,2,Sandy,Krobus
4/8/2025 21:09:44,Male,Gay,25,Single,Music,Fishing,Introvert,Spring,1,Evelyn,Alex
4/8/2025 21:09:57,Male,Straight,22,Single,Arts,Mining,Introvert,Winter,2,Robin,Abigail
4/8/2025 21:24:19,Male,Bisexual,18,Single,Arts,Mining,Introvert,Summer,3,Gus,Sam
4/8/2025 21:29:43,Female,Bisexual,26,Dating,Music,Exploring,Ambivert,Spring,2,Linus,Sebastian
4/8/2025 21:47:48,Female,Lesbian,32,Married,Arts,Exploring,Introvert,Fall,2,Robin,Leah
4/8/2025 21:58:41,Female,Bisexual,26,Dating,Arts,Fishing,Introvert,Fall,7,Wizard,Sebastian
4/8/2025 22:17:40,Male,Straight,35,Dating,Cooking,Farming,Introvert,Spring,4,Robin,Leah
